codigo_ies,sigla,nome_emec,organizacao_emec,categoria_emec,match_type,fetched_at
129,,,,,not_found,2026-05-13
130,,,,,not_found,2026-05-13
166,-,"FAI - CENTRO DE ENSINO SUPERIOR EM GESTÃO, TECNOLOGIA E EDUCAÇÃO",Faculdade,Privada sem fins lucrativos,code_match,2026-05-13
195,-,FACULDADE PRESBITERIANA MACKENZIE RIO,Faculdade,Privada sem fins lucrativos,code_match,2026-05-13
202,-,FACULDADE DO RIO DE JANEIRO,Faculdade,Privada com fins lucrativos,code_match,2026-05-13
225,,,,,not_found,2026-05-13
254,UNI-BAN,CENTRO UNIVERSITÁRIO UNI-BAN,Centro Universitário,Privada com fins lucrativos,code_match,2026-05-13
267,-,CENTRO UNIVERSITÁRIO ESPÍRITO-SANTENSE/FAESA,Centro Universitário,Privada sem fins lucrativos,code_match,2026-05-13
270,,,,,not_found,2026-05-13
296,-,Centro Universitário da Região da Campanha,Centro Universitário,Privada sem fins lucrativos,code_match,2026-05-13
339,,,,,not_found,2026-05-13
510,-,FACULDADE WENCESLAU BRAZ,Faculdade,Privada sem fins lucrativos,code_match,2026-05-13
526,-,CENTRO UNIVERSITÁRIO BRAZ CUBAS,Centro Universitário,Privada com fins lucrativos,code_match,2026-05-13
627,-,FACULDADE CNEC VARGINHA,Faculdade,Privada sem fins lucrativos,code_match,2026-05-13
631,-,FACULDADE CNEC FARROUPILHA,Faculdade,Privada sem fins lucrativos,code_match,2026-05-13
712,-,CENTRO UNIVERSITÁRIO IBMR,Centro Universitário,Privada com fins lucrativos,code_match,2026-05-13
715,-,FAE CENTRO UNIVERSITÁRIO,Centro Universitário,Privada sem fins lucrativos,code_match,2026-05-13
716,-,FACULDADES INTEGRADAS DE BOTUCATU,Faculdade,Privada sem fins lucrativos,code_match,2026-05-13
736,-,FACULDADE ANHANGUERA DE LINHARES,Faculdade,Privada com fins lucrativos,code_match,2026-05-13
785,,,,,not_found,2026-05-13
891,FPI,Faculdade Pitágoras de Irecê,Faculdade,Privada com fins lucrativos,name_match,2026-05-13
909,,,,,not_found,2026-05-13
918,-,CENTRO UNIVERSITÁRIO UNIVEL,Centro Universitário,Privada com fins lucrativos,code_match,2026-05-13
926,-,Centro Universitário Anhanguera Pitágoras Unopar de Campo Grande,Centro Universitário,Privada com fins lucrativos,code_match,2026-05-13
945,-,Faculdade Funorte de Januária,Faculdade,Privada com fins lucrativos,code_match,2026-05-13
997,-,Centro Universitário de Bauru,Centro Universitário,Privada sem fins lucrativos,code_match,2026-05-13
1015,,,,,not_found,2026-05-13
1070,-,FACULDADE CNEC UNAÍ,Faculdade,Privada sem fins lucrativos,code_match,2026-05-13
1077,-,Centro Universitário Estácio do Recife,Centro Universitário,Privada com fins lucrativos,code_match,2026-05-13
1078,INTEGRADO,CENTRO UNIVERSITÁRIO INTEGRADO DE CAMPO MOURÃO,Centro Universitário,Privada com fins lucrativos,code_match,2026-05-13
1088,,,,,not_found,2026-05-13
1118,,,,,not_found,2026-05-13
1122,-,FACULDADE REGES DE OSVALDO CRUZ,Faculdade,Privada sem fins lucrativos,code_match,2026-05-13
1141,-,CENTRO UNIVERSITÁRIO GAMA E SOUZA,Centro Universitário,Privada sem fins lucrativos,code_match,2026-05-13
1156,-,Faculdade CNEC Alberto Torres,Faculdade,Privada sem fins lucrativos,code_match,2026-05-13
1197,,,,,not_found,2026-05-13
1203,,,,,not_found,2026-05-13
1207,,,,,not_found,2026-05-13
1208,,,,,not_found,2026-05-13
1210,,,,,not_found,2026-05-13
1223,,,,,not_found,2026-05-13
1231,-,FACULDADE CNEC SANTO ÂNGELO,Faculdade,Privada sem fins lucrativos,code_match,2026-05-13
1233,-,"CENTRO UNIVERSITÁRIO UNIC Suspensão de autonomia para EAD: em descredenciamento voluntário na modalidade EAD, conforme processo SEI nº 23000.042036/2023-61.",Centro Universitário,Privada com fins lucrativos,code_match,2026-05-13
1238,,,,,not_found,2026-05-13
1258,-,FACULDADE ANHANGUERA DE CASCAVEL,Faculdade,Privada com fins lucrativos,code_match,2026-05-13
1259,,,,,not_found,2026-05-13
1287,,,,,not_found,2026-05-13
1291,-,FACULDADE DE SANTO ANTONIO DA PLATINA,Faculdade,Privada com fins lucrativos,code_match,2026-05-13
1304,,,,,not_found,2026-05-13
1305,,,,,not_found,2026-05-13
1318,-,FACULDADE UNINASSAU VITÓRIA DA CONQUISTA,Faculdade,Privada com fins lucrativos,code_match,2026-05-13
1345,-,FACULDADE ANHANGUERA DE OSASCO,Faculdade,Privada com fins lucrativos,code_match,2026-05-13
1348,,,,,not_found,2026-05-13
1351,-,CENTRO UNIVERSITÁRIO SOCIESC,Centro Universitário,Privada com fins lucrativos,code_match,2026-05-13
1360,-,iCEV - Instituto de Ensino Superior,Faculdade,Privada com fins lucrativos,code_match,2026-05-13
1364,UNEX Conquista,Centro Universitário de Excelência de Vitória da Conquista,Centro Universitário,Privada com fins lucrativos,code_match,2026-05-13
1412,FAJ,FACULDADE ANHANGUERA DE JUNDIAÍ,Faculdade,Privada com fins lucrativos,code_match,2026-05-13
1417,-,FACULDADE CNEC CAMPO LARGO,Faculdade,Privada sem fins lucrativos,code_match,2026-05-13
1420,-,FACULDADES DE DRACENA,Faculdade,Privada sem fins lucrativos,code_match,2026-05-13
1442,,,,,not_found,2026-05-13
1443,FAVIVA,"FACULDADE VIVA VITÓRIA Suspensão contrato FIES: Não preenchimento do último Censo, Art. 2º e 4º da Portaria 794/2013. , Portaria N. 468/2025 - DOU 16/07/2025, SEI 23000.045436/2024-17",Faculdade,Privada sem fins lucrativos,code_match,2026-05-13
1452,FASL,FACULDADE ANHANGUERA DE SÃO LUÍS,Faculdade,Privada com fins lucrativos,code_match,2026-05-13
1461,ZARNS SALVADOR,Centro Universitário Zarns - Salvador,Centro Universitário,Privada com fins lucrativos,code_match,2026-05-13
1469,Unicesusc,Centro Universitário Cesusc,Centro Universitário,Privada com fins lucrativos,code_match,2026-05-13
1476,-,"FACULDADES INTEGRADAS INTERAMERICANAS ' /> (1476) FACULDADE DE COMUNICAÇÃO E DESIGN ""OSWALDO CRUZ""",Faculdade,Privada com fins lucrativos,code_match,2026-05-13
1478,-,FACULDADE ANHANGUERA DE SÃO BERNARDO,Faculdade,Privada com fins lucrativos,code_match,2026-05-13
1502,-,FACULDADE ANHANGUERA PITÁGORAS DE JUNDIAÍ,Faculdade,Privada com fins lucrativos,code_match,2026-05-13
1506,-,Faculdade CNEC Itajaí,Faculdade,Privada sem fins lucrativos,code_match,2026-05-13
1510,-,CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA,Centro Universitário,Privada com fins lucrativos,code_match,2026-05-13
1518,,,,,not_found,2026-05-13
1530,-,Faculdade CNEC Joinville,Faculdade,Privada sem fins lucrativos,code_match,2026-05-13
1532,,,,,not_found,2026-05-13
1541,-,FACULDADE FLAMINGO,Faculdade,Privada com fins lucrativos,code_match,2026-05-13
1555,,,,,not_found,2026-05-13
1618,-,CENTRO UNIVERSITÁRIO SOCIESC DE BLUMENAU,Centro Universitário,Privada com fins lucrativos,code_match,2026-05-13
